"","Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual","region","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k","death_case_ratio","location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"30","Guatemala","Latin America and Caribbean",6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,"Guatemala","Guatemala",136064.287,4779.289,759.47519271927,26.6767387267174,0.0351252272390917,"Guatemala",0,0,0,0
"31","Uruguay","Latin America and Caribbean",6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6,"Uruguay","Uruguay",17366.29,161.605,499.932493255803,4.65220784477306,0.00930567208079562,"Uruguay",0,0,0,0
"32","Singapore","Southeast Asia",6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379,"Singapore","Singapore",58448.7060000001,29.016,999.064601853259,0.495970919995631,0.00049643528464086,"Singapore",0,0,0,0
"33","Kosovo","Central and Eastern Europe",6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,"Kosovo",NA,NA,NA,NA,NA,NA,"Kosovo",0,0,0,0
"34","Slovakia","Central and Eastern Europe",6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,"Slovakia","Slovakia",170116.43,1900.292,3115.88926235653,34.806158571174,0.0111705377311292,"Slovakia",0,0,0,0
"35","Brazil","Latin America and Caribbean",6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,"Brazil","Brazil",7537457.291,192213.861,3546.04735046097,90.4283004475234,0.0255011542459432,"Brazil",0,0,0,0
"36","Mexico","Latin America and Caribbean",6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,"Mexico","Mexico",1394837.427,123384.727,1081.83327707274,95.6969615005429,0.0884581418677404,"Mexico",24998,NA,0.02,NA
"37","Jamaica","Latin America and Caribbean",6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,"Jamaica","Jamaica",12725.575,297.587,429.749513788679,10.0496730843071,0.0233849551002607,"Jamaica",0,0,0,0
"38","Lithuania","Central and Eastern Europe",6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,"Lithuania","Lithuania",134199.575,1653.866,4929.65575686067,60.7527262882624,0.012323928745676,"Lithuania",9755,NA,0.36,NA
"39","Cyprus","Western Europe",6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,"Cyprus","Cyprus",20591.997,114.3,2350.95564671269,13.0494497653268,0.00555070010936773,"Cyprus",0,0,0,0
"40","Estonia","Central and Eastern Europe",6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,"Estonia","Estonia",26047.577,214.157,1963.57415801571,16.14404099691,0.00822176281502115,"Estonia",2475,3,0.19,0
"41","Panama","Latin America and Caribbean",6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,"Panama","Panama",235453.71,3887.577,5456.92630519185,90.0993286313424,0.0165110033730197,"Panama",0,0,0,0
"42","Uzbekistan","Commonwealth of Independent States",6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477,"Uzbekistan","Uzbekistan",76816.284,613.013000000001,229.513362420176,1.83157356111211,0.00798024804219898,"Uzbekistan",0,0,0,0
